"Austria", "dsb@dsb.gv.at"
"Belgium", "contact@apd-gba.be"
"Bulgaria", "kzld@cpdp.bg"
"Croatia", "azop@azop.hr"
"Cyprus", "commissioner@dataprotection.gov.cy"
"Czech Republic", "posta@uoou.cz"
"Denmark", "dt@datatilsynet.dk",
"Estonia", "info@aki.ee"
"European Data Protection Supervisor", "edps@edps.europa.eu"
"Finland", "tietosuoja@om.fi"
"Germany", "poststelle@bfdi.bund.de"
"Greece", "contact@dpa.gr"
"Hungary", "peterfalvi.attila@naih.hu"
"Ireland", "info@dataprotection.ie"
"Italy", "garante@garanteprivacy.it"
"Latvia", "info@dvi.gov.lv"
"Lithuania", "ada@ada.lt"
"Luxembourg", "info@cnpd.lu"
"Malta", "idpc.info@idpc.org.mt"
"Poland", "kancelaria@uodo.gov.pl; zwme@uodo.gov.pl"
"Portugal", "geral@cnpd.pt"
"Romania", "anspdcp@dataprotection.ro"
"Slovakia", "statny.dozor@pdp.gov.sk"
"Slovenia", "gp.ip@ip-rs.si"
"Spain", "internacional@agpd.es"
"Sweden", "datainspektionen@datainspektionen.se"
"United Kingdom", "casework@ico.org.uk"
